"Director_id","Name","Rating","Movie_Count"
nm0453518,Jee-woon Kim,7.18,5
nm0000941,Kathryn Bigelow,7.17,7
nm0003160,Christopher McQuarrie,7.17,4
nm0000783,Dario Argento,7.17,3
nm0000126,Kevin Costner,7.17,3
nm0001885,Lars von Trier,7.16,9
nm0001331,Todd Haynes,7.16,5
nm0353673,Paul Haggis,7.15,4
nm1139726,Neil Burger,7.15,4
nm1193346,Sean Ellis,7.15,2
nm0771054,Lone Scherfig,7.15,2
nm0870469,Dan Trachtenberg,7.15,2
nm0036349,Andrea Arnold,7.15,2
nm1079776,George Nolfi,7.15,2
nm3792134,Aneesh Chaganty,7.15,2
nm0000490,Spike Lee,7.14,9
nm0000431,Taylor Hackford,7.14,7
nm0286975,Marc Forster,7.13,9
nm0565336,Tom McCarthy,7.13,6
nm1443502,Jordan Peele,7.13,3
nm3211470,Robert Eggers,7.13,3
nm0000487,Ang Lee,7.12,9
nm0946734,David Yates,7.12,8
nm0525303,Baz Luhrmann,7.12,6
nm0000520,Michael Mann,7.1,10
nm0001880,Edward Zwick,7.1,10
nm0001338,Brian Helgeland,7.1,4
nm1291105,J.A. Bayona,7.1,4
nm0088955,Neill Blomkamp,7.1,3
nm0002338,Jack Clayton,7.1,2
nm0742341,Stuart Rosenberg,7.1,2
nm0469694,Wayne Kramer,7.1,2
nm0708903,Lynne Ramsay,7.1,2
nm0335138,Debra Granik,7.1,2
nm1783265,Tim Miller,7.1,2
nm1580671,Jon S. Baird,7.1,2
nm2648685,Mike Cahill,7.1,2
nm0004234,Alfonso Gomez-Rejon,7.1,2
nm1023919,Ramin Bahrani,7.1,2
nm0623768,Ronald Neame,7.1,1
nm0399853,Hugh Hudson,7.1,1
nm0390822,Savage Steve Holland,7.1,1
nm0438279,Jonathan Kaplan,7.1,1
nm0449863,Justin Kerrigan,7.1,1
nm0063785,Henry Bean,7.1,1
nm0004363,Rakesh Roshan,7.1,1
nm0467225,Peter Kosminsky,7.1,1
nm1009775,Greg Marcks,7.1,1
nm1293863,Hiroyuki Morita,7.1,1
nm0562266,John Maybury,7.1,1
nm0300015,Shainee Gabel,7.1,1
nm0423333,Phil Joanou,7.1,1
nm0463316,Kunal Kohli,7.1,1
nm0420982,Tamara Jenkins,7.1,1
nm0610219,Oren Moverman,7.1,1
nm0111845,Adam Brooks,7.1,1
nm2326979,Larysa Kondracki,7.1,1
nm8066994,Chung-Hyun Lee,7.1,1
nm0005093,Regina King,7.1,1
nm0200702,Dany Boon,7.1,1
nm3519173,Nora Fingscheidt,7.1,1
nm0562470,Max Mayer,7.1,1
nm2441699,Graham Moore,7.1,1
nm3220744,Felicity Morris,7.1,1
nm5518137,Anirudh Iyer,7.1,1
nm0855300,Jonathan Teplitzky,7.1,1
nm0396075,Masahiro Hosoda,7.1,1
nm3758453,Radha Krishna Jagarlamudi,7.1,1
nm2051728,Morgan Matthews,7.1,1
nm1481618,Peter Landesman,7.1,1
nm1404307,Simon Stone,7.1,1
nm0348495,Sanjay Gupta,7.1,1
nm4023702,Steven Caple Jr.,7.1,1
nm0580351,Stephen Merchant,7.1,1
nm1290515,Antonio Campos,7.1,1
nm0609944,Wagner Moura,7.1,1
